city,country,lon,lat
Berlin,DE,13.3888599,52.5170365
Munich,DE,11.5753822,48.1371079
Hamburg,DE,10.000654,53.550341
Baden-Baden,DE,8.239959,48.7610716
Paris,FR,2.3200410217200766,48.8588897
Strasbourg,FR,7.7507127,48.584614
Madrid,ES,-3.7035825,40.4167047
Málaga,ES,-4.4216366,36.7213028
Barcelona,ES,2.1774322,41.3828939
Lisbon,PT,-9.1365919,38.7077507
Mexico City,MX,-99.1331785,19.4326296
Monterrey,MX,-100.315258,25.6802019
Tokyo,JP,139.7638947,35.6768601
Osaka,JP,135.5014539,34.6937569
Kyoto,JP,135.7556075,35.021041
