city,country,lon,lat,geometry,temperature,temperature_max,temperature_min,feels_like,humidity,wind_speed,wind_direction,description,timestamp
Tokio,JP,139.7638947,35.6768601,POINT (139.7638947 35.6768601),29.42,29.91,27.66,34.09,72,3.6,40,broken clouds,2025-08-06 15:29:02
Tokio,JP,139.7638947,35.6768601,POINT (139.7638947 35.6768601),29.72,29.91,28.81,34.82,72,2.57,60,broken clouds,2025-08-06 16:03:26
Strasbourg,FR,7.7507127,48.584614,POINT (7.7507127 48.584614),23.02,24.03,22.99,22.76,53,3.09,350,clear sky,2025-08-06 15:59:28
Seoul,KR,126.9782914,37.5666791,POINT (126.9782914 37.5666791),25.76,25.78,25.76,27.0,100,2.57,220,broken clouds,2025-08-06 15:29:03
Paris,FR,2.3200410217200766,48.8588897,POINT (2.3200410217200766 48.8588897),24.15,25.01,23.42,23.69,41,3.6,80,clear sky,2025-08-06 15:24:05
Paris,FR,2.3200410217200766,48.8588897,POINT (2.3200410217200766 48.8588897),24.06,25.01,23.08,23.57,40,4.12,0,clear sky,2025-08-06 15:59:14
Osaka,JP,135.5014539,34.6937569,POINT (135.5014539 34.6937569),30.95,31.17,30.95,37.46,70,3.09,240,overcast clouds,2025-08-06 16:03:27
Munich,DE,11.5753822,48.1371079,POINT (11.5753822 48.1371079),22.07,22.54,21.07,21.69,52,1.34,341,overcast clouds,2025-08-06 15:26:23
Munich,DE,11.5753822,48.1371079,POINT (11.5753822 48.1371079),21.93,22.57,20.89,21.54,52,1.79,348,overcast clouds,2025-08-06 16:03:14
Monterrey,MX,-100.315258,25.6802019,POINT (-100.315258 25.6802019),27.41,27.99,27.41,28.2,55,2.17,48,scattered clouds,2025-08-06 16:03:25
Mexico_city,MX,-99.1331785,19.4326296,POINT (-99.1331785 19.4326296),15.55,16.14,15.5,14.86,65,2.57,310,overcast clouds,2025-08-06 15:24:48
Mexico_city,MX,-99.1331785,19.4326296,POINT (-99.1331785 19.4326296),15.67,17.94,15.5,14.96,64,2.24,310,light rain,2025-08-06 16:03:24
Malaga,ES,-4.4216366,36.7213028,POINT (-4.4216366 36.7213028),32.67,33.74,30.94,34.13,44,4.63,140,clear sky,2025-08-06 15:28:59
Malaga,ES,-4.4216366,36.7213028,POINT (-4.4216366 36.7213028),32.67,33.74,30.94,34.13,44,4.12,130,clear sky,2025-08-06 16:03:21
Madrid,ES,-3.7035825,40.4167047,POINT (-3.7035825 40.4167047),35.77,36.59,34.39,33.79,19,3.6,240,clear sky,2025-08-06 15:24:37
Madrid,ES,-3.7035825,40.4167047,POINT (-3.7035825 40.4167047),35.86,36.88,35.15,33.76,18,4.12,0,clear sky,2025-08-06 16:03:20
Lisbon,PT,-9.1365919,38.7077507,POINT (-9.1365919 38.7077507),26.73,29.42,23.75,27.45,55,6.69,260,clear sky,2025-08-06 15:27:49
Lisbon,PT,-9.1365919,38.7077507,POINT (-9.1365919 38.7077507),25.76,28.31,23.75,25.88,57,6.69,260,clear sky,2025-08-06 16:03:21
Kyoto,JP,135.7556075,35.021041,POINT (135.7556075 35.021041),29.44,30.92,27.76,35.27,77,2.49,218,broken clouds,2025-08-06 16:03:28
Hamburg,DE,10.000654,53.550341,POINT (10.000654 53.550341),18.87,20.72,18.78,18.48,64,5.66,280,few clouds,2025-08-06 15:28:54
Hamburg,DE,10.000654,53.550341,POINT (10.000654 53.550341),18.86,20.16,18.32,18.45,63,5.14,270,few clouds,2025-08-06 16:00:31
Berlin,DE,13.3888599,52.5170365,POINT (13.3888599 52.5170365),21.68,22.26,21.11,21.37,56,6.69,260,clear sky,2025-08-06 15:28:10
Berlin,DE,13.3888599,52.5170365,POINT (13.3888599 52.5170365),21.9,22.77,20.56,21.48,51,6.71,258,clear sky,2025-08-06 16:02:02
Barcelona,ES,2.1774322,41.3828939,POINT (2.1774322 41.3828939),28.57,31.61,27.6,30.46,61,4.63,200,clear sky,2025-08-06 16:03:22
Baden_Baden,DE,8.239959,48.7610716,POINT (8.239959 48.7610716),23.97,24.71,23.27,23.7,49,2.94,61,overcast clouds,2025-08-06 15:28:56
Baden_Baden,DE,8.239959,48.7610716,POINT (8.239959 48.7610716),23.43,24.71,23.27,23.13,50,2.97,69,overcast clouds,2025-08-06 16:03:16
